ceneton_slug,corrected_slug
ArendszMithridates1697,ArendszMithridates1679
BaronKeesLouwen1679,BaronKeesLouwenKlapperman1679
BaronLichthart1653,BaronLichthartAersgat1653
BernagieGoeVrouw1686,
BernagieJuffer1685,BernagieRomanziekeJuffer1685
BieAlphonsus1673,DeBieAlphonsus1673
BieBorsesnyers1673,
BieFlorellus1671,DeBieFlorellus1671
BoelensVryer1672,BoelensBedrogenVryer1672
Bontius1735ca,Bontius/Bontius1735ca
BontiusVosVertooningen1660a,BontiusVosVertooningen1660
BosBiancaCapellis1649,
CarmelietenBaasa1776,CarmelietenBaasaMunsterbilsen1776
CruyssenIuditha1642,
DeBieRoeland1673,DeBieRoelandt1673
DuimBroedermoort1744,
DuyrkantIoosje1642,DuyrkantsIoosje1642
ElslandBrechtje1715ca,
ElverveltDankbaare zoon1777,ElverveltDankbaareZoon1777
FranssoonGiertjenWouters1623,FransssoonGiertjenWouters1623
GaeteApotheker1714,GaeteApotheker1714ca
GentGrieseildis1775,RonseGriseildis1775
GrieckBelizarius1658,GrieckBellizarius1658
Hoppestein,
HovenHuuwelyk1718,
HuydecoperStandvastigheid1717b,
HvanBulderenDeWit1673ca,
HvanBulderenDiensmaegd1675,
JapinArlekyn1747,
KoninghHagar1617,
KrookHuishouwen1703,
LangendijkArlequin1720e,
LeeuwCirce1670,
LeeuwCirce1690,
LeeuwLiefdendokter1680b,
LemmersGasthuis1688,
Libertus1631,
LingelbachAmarillis1713ca,
MariamneKortrijk1664,
MattelaerKruisbroedersKortrijkIoas1663,
MeyerLoogenaar1721,
MierisAminta1660,
MinnenydigeGemalin1784ca,
Molanus69Salomon,
NVAAmsterdamseDragonnade,
NVASchilderLiefde1716,
NVASpoockendWeeuwtje1713,
NVATierannyEigenbaat1679c,
NVAVryer1704,
OgierFerdinand1714,
OgierHooftsonden1682at,
OpdenHooffMahomet1740,
PDNSwagerschap1743,
Piramus1700b,
RidderPromotie1748,
RijkAthalia1716,
RijkBajazet1684,
RijkDonPedroosGeest1721,
RijkHester1719,
RoelandtBiron1629KBH,
SJJesusGent1734,
SJLapsusAngelorumIeper1711,
SJSalomonMechelen1749,
SJThomasJaponKortijk1745,
SLIarbasMechelen1656,
SammersBootsgesel1669,
SantenEenAar1624,
SpeTon178501Dwaling,SpecTon178501Dwaling
SteynLammertMeese1661b,
TafelspelenSchipperKrijgsmanSymenOnderdeLinde,
TengnagelFrick1642UBL,
VondelDothan1640a,VondelDothan1640
VondelElektra1639a,VondelElektra1639
VondelSalmoneus1657a.html,VondelSalmoneus1657
VondelSamson1660a,VondelSamson1660
VosLomeLammert1642,VosLoomeLammert1642
VosPekelharingh1653,VosPekelharing1653
WDHooftPiere1628,WDHooftAndreaPeerdekooper1628
WDHooftPiere1634,WDHooftAndreaPeerdekooper1634
WaltesBolbackersIanUytenbroeck,WaltesBolBackersIanUytenbroeck
WildeAbrarates1710,WildeAbradates1710
WillemsBakkersKnaapje1652,WillemsBakkersknaapje1652
ZoetDroogheGoosen1636,ZoetDroogeGoosen1636
ZovitiusOvis1539,ZovitiusOvisPerdita1539

