nummer,text_id,auteurva,titel,jaarnr,genre,oorspr_auteur_va,drukkerva,plaats_van_uitgave
Ceneton000080,3,A.L.F. [= Jacob Elias Michielsz.?],"Droom, of de haen.",1731,Dialoog,Lucianus,Boudewijn Janssoon (II) en Pieter Janssoon (II) van der Aa,Leiden
Ceneton000100,7,A.Tr.,"List tot welstandt, ofte bekeerde dronckaert.",1660,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton000110,6,A.V.H.,"Asotus, of den overtollighen jongelingh.",1650,Treur-eindend spel,Macropedius,"Michiel Stael, en Jan Breeckevelt",’s-Gravenhage
Ceneton000150,9,J. Acket,"Clarinde princesse van Mantua, of de rampspoedighe liefde.",1700,Treurspel,,Ignatius van Pee,Brugge
Ceneton000250,10,J. van Aelhuisen (naar Jan Vos),"Aran & Titus. Mutua vindicatio, interprete schola Thielana.",1658,Treurspel,Jan Vos,Gosuinus à Duyn,Tiel
Ceneton000440,11,Abraham Alewyn,De bedrooge woekeraar.,1702,Blijspel,,Erven Jacob Lescailje,Amsterdam
Ceneton000560,12,Abraham Alewyn,Orpheus hellevaart om Euridice.,1705,Muziekspel,,Voor de liefhebbers,Amsterdam
Ceneton000590,13,Abraham Alewyn,"Philippyn, mr. Koppelaar.",1707,Blijspel,,Erven Jacob Lescailje,Amsterdam
Ceneton000660,400,Gelasius Aleximomus,Monsieur Joncourtisaen Turlepin. Haegsche vier-blusscher. Drollige comoedie gespeelt op ’t Haegsche schouwburg.,1708,Drollige Komedie,,Fictief: “Hans Herm. Hekeltwist”,’s-Gravenhage?
Ceneton000760,16,Hermanus Angelkot Jr.,Het vroutje van Ephesen.,1721,Kluchtspel,Nicolas Boindin en Antoine Houdart de la Motte,Erven Jacob Lescailje en Dirk Rank,Amsterdam
Ceneton000780,14,Hermanus Angelkot Sr.,Misantrope.,1682,Blijspel,Jean Baptiste Poquelin Molière,Erven Jacob Lescailje,Amsterdam
Ceneton000800,15,Hermanus Angelkot Sr.,Vechter.,1679,Kluchtspel,,Jacob Lescailje,Amsterdam
Ceneton001250,899,Thomas Arendsz,"Mithridates, koning van Pontus.",1679,Treurspel,Jean Baptiste Racine,Hieronymus Sweerts,Amsterdam
Ceneton001330,20,Thomas Arendsz,Het school voor de vrouwen.,1701,Blijspel,Jean Baptiste Poquelin Molière,Erven Jacob Lescailje,Amsterdam
Ceneton001390,530,Thomas Arendsz c.s. (NVA),’t Gedwongene huuwelyk.,1682,Blijspel,Jean Baptiste Poquelin Molière,Albert Magnus,Amsterdam
Ceneton001420,531,Thomas Arendsz c.s. (NVA),Het gedwongene huuwelyk.,1710,Blijspel,Jean Baptiste Poquelin Molière,Erven Jacob Lescailje,Amsterdam
Ceneton001480,21,Jan van Arp,"Boertighe clucht van Claes Klick, op de reghel: “die drocke drinckt en syn wijf plaeght, ten is niet vreemt dat hy hoornen draeght. Ghespeelt op d’Oude kamer ‘In liefd’ bloeyende’.",1632,Kluchtspel,,Cornelis Willemsz Blaeu-laken,Amsterdam
Ceneton001490,22,Jan van Arp,Boertighe clucht van Claes Klick.,1640,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton001500,23,Jan van Arp,Singhende klucht van droncke Goosen.,1630,Kluchtspel,,"Pieter Jansen Slyp, voor Cornelis Willemsz Blaeu-laken",Amsterdam
Ceneton001510,24,Jan van Arp,Singhende klucht van droncke Goosen.,1639,Kluchtspel,,Dirck Cornelisz Houthaeck,Amsterdam
Ceneton001930,27,Thomas Asselijn,Echtscheiding van Jan Klaasz en Saartje Jans.,1685,Blijspel,,Erven Jacob Lescailje,Amsterdam
Ceneton001990,28,Thomas Asselijn,"Gusman de Alfarache, of de doorsleepene bedelaars.",1693,Blijspel,Mateo Aleman,Erven Jacob Lescailje,Amsterdam
Ceneton002000,25,Thomas Asselijn,"Jan Klaez, of gewaande dienstmaagr [sic]",1682,Blijspel,,"Gysbert de Groot, in Heulen",Amsterdam
Ceneton002020,26,Thomas Asselijn,"Jan Klaesz, of gewaende dienstmaagt.",1682,Blijspel,,"Gysbert de Groot, in Heulen",Amsterdam
Ceneton002270,29,Thomas Asselijn,"Kraam-bedt, of kandeel-maal, van Zaartje Jans, Vrouw van Jan Klaazen.",1684,Blijspel,,Alexander Lintman,Amsterdam
Ceneton002440,30,Thomas Asselijn,De kwakzalver. De heer W. G. V. Focquenbroch gevolgd.,1692,Kluchtspel,Willem Godschalk van Focquenbroch,Erven Jacob Lescailje,Amsterdam
Ceneton002450,32,Thomas Asselijn,"Melchior, baron de Ossekop.",1691,Kluchtspel,,Erven Jacob Lescailje,Amsterdam
Ceneton002470,31,Thomas Asselijn,"Op- en ondergang van Mas Anjello, of Napelse beroerte (voorgevallen in’t jaar 1647).",1668,Treurspel,,Jacob Lescailje,Amsterdam
Ceneton002600,33,Thomas Asselijn,"De spilpenning, of verkwistende vrouw.",1693,Blijspel,,Erven Jacob Lescailje,Amsterdam
Ceneton002660,34,Thomas Asselijn,De stiefmoer.,1684,,,Erven Jacob Lescailje,Amsterdam
Ceneton002801,35,Augustijnen van Brugge,"Den boer door loosen treck, en uytgevonden raet, die komt ten langen lest, tot eenen ed’len staet.",1728,Kluchtspel,,Jacobus Beernaerts,Brugge
Ceneton004460,38,Augustijnen van Antwerpen,Leopoldus ende Josephus in den onder-ganck van Mahomet.,1699,,,Jacob Mesens,Antwerpen
Ceneton006070,36,Augustijnen van Dendermonde,Keyser Carel den Vijfden vraeck nemende over het goodeloos schelmstuck van Joannes Fredericus ... / ... sal speel-wys vertoont worden door de jonckheyt van het collegie van Dendermonde.,1729,,,Jacobus du Caju,Dendermonde
Ceneton007080,37,Augustijnen van Ieper,"Trevr-spel in Iamires hertoogh van Bohemen, ende zijn broeders Boleslavs ende Odalricvs verthoont door de jonckheyt van het collegie vande eerw: P.P. augustijnen binnen Ipre den 2. ende 3. september 1693 = Tragedie representée en Iamire duc de Boheme, & ses freres Boleslas & Odalric",1693,Treurspel,,Jacques de Rave,Ieper
Ceneton007090,37,Augustijnen van Ieper,"Trevr-spel in Iamires hertoogh van Bohemen, ende zijn broeders Boleslavs ende Odalricvs verthoont door de jonckheyt van het collegie vande eerw: P.P. augustijnen binnen Ipre den 2. ende 3. september 1693 = Tragedie representée en Iamire duc de Boheme, & ses freres Boleslas & Odalric",1693,Treurspel,,Jacques de Rave,Ieper
Ceneton007520,43,Jan Bara,"Herstelde vorst, of geluckigh ongeluck.",1650,Treurspel,,Lodewyck Spillebout,Amsterdam
Ceneton007540,40,Jan Bara,Klucht van ick kenje niet.,1664,Kluchtspel,,Abraham van Lanckom,Amsterdam
Ceneton007560,41,Jan Bara,"Ik kenje niet, vermeerderd met een opdracht.",1747,Kluchtspel,,Johannes Smit,Amsterdam
Ceneton007570,42,Jan Bara,Het verslingert Moekroesje.,1668,Kluchtspel,,Adriaen Venendael,Amsterdam
Ceneton007600,44,Abraham Louis Barbaz,Agathokles.,1798,Treurspel,Voltaire (ps. van François-Marie Arouet),Pieter Johannes Uylenbroek,Amsterdam
Ceneton007720,45,Abraham Louis Barbaz,Mithridates.,1800,Treurspel,Jean Baptiste Racine,Pieter Johannes Uylenbroek,Amsterdam
Ceneton007760,46,Abraham Louis Barbaz,"Philoctetes, op het eiland van Lemnos.",1793,Treurspel,Jean François de la Harpe / Sophocles,Pieter Johannes Uylenbroek,Amsterdam
Ceneton007790,47,Abraham Louis Barbaz,De Scyten.,1796,Treurspel,Voltaire (ps. van François-Marie Arouet),"Jan Helders, en Abraham Mars",Amsterdam
